Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрейко,Людмила,Петрівна,Жіноча,1972-02-03,Композитор,місто Тлумач,"вулиця Композитора Глинки, буд. 61, Красногорівка, 64837",+380 (83) 129-33-02,hlibderevianko@example.org
Шило,Тимофій,Сергійович,Чоловіча,1999-02-11,Хімік,хутір Конотоп,"сквер Зелена балка, буд. 93 кв. 76, Горлівка, 78669",303-33-03,dzhaivoron@example.org
Доценко,Руслан,Андрійович,Чоловіча,1972-09-27,Єгер,село Тернопіль,"сквер Наявний 4-й, буд. 36, Южне, 69308",035 924 50 03,mykolaiskopenko@example.com
Онуфрієнко,Кирило,Романович,Чоловіча,1953-01-05,Археолог,місто Чернівці,"вулиця Сумська, буд. 212, Балаклія, 80634",587 72 32,kvanchenko@example.org
Сич,Андрій,Євгенович,Чоловіча,1967-03-06,Геолог,хутір Докучаєвськ,"вулиця Герцена, буд. 519, Жидачів, 78018",216-77-69,cherednyknestor@example.com
Вакарчук,Віталій,Андрійович,Чоловіча,1960-05-08,Сантехнік,місто Селидове,"провулок Квітнева, буд. 6, Тлумач, 91964",+380 89 006-84-46,davydzakharenko@example.org
Єщенко,Святослава,Богданівна,Жіноча,1993-09-21,Кушнір,село Буськ,"набережна Абрикосова, буд. 1 кв. 25, Вільнянськ, 53764",178 18 47,nehodaedyta@example.net
Тесля,Сергій,Федорович,Чоловіча,1961-10-20,Штукатур,місто Карлівка,"сквер Лузанівський, буд. 908 кв. 75, Волочиськ, 80087",+380 29 216-71-22,cderhach@example.org
Вернидуб,Олекса,Миколайович,Чоловіча,1961-10-20,Етнограф,селище Канів,"парк Гастелло, буд. 4, Узин, 14730",+380 29 074 49 95,vladyslavdakhno@example.org
Верховинець,Марія,Євгенівна,Жіноча,2005-07-24,Юрист,село Кропивницький,"проспект Відважних, буд. 4, Добромиль, 58796",052 145-48-99,anastasiia66@example.com
Колесниченко,Вʼячеслав,Васильович,Чоловіча,1961-05-03,Менеджер,місто Перещепине,"шосе Неплія, буд. 66 кв. 02, Миколаївка , 24496",883-37-34,nazartarasenko@example.com
Яценюк,Одарка,Євгенівна,Жіноча,1952-10-24,Юрист,селище Теребовля,"парк Проїзний 3-й, буд. 889 кв. 317, Березне, 75379",615-30-51,baraneduard@example.net
Зінченко,Геннадій,Сергійович,Чоловіча,1998-11-07,Композитор,селище Корець,"парк Восьмого березня узвіз, буд. 2, Борислав, 11456",+380 59 817-21-49,ostap21@example.net
Їжак,Єлисей,Дмитрович,Чоловіча,1972-07-28,Золотар,місто Бучач,"провулок Трудових резервів, буд. 5 кв. 2, Узин, 28741",842-26-60,zhuravelpriska@example.net
Швайка,Володимира,Романівна,Жіноча,1966-05-13,Астронавт,село Лохвиця,"вулиця Наклонна, буд. 05, Угнів, 26040",+380 (74) 872-88-21,nazarbabiichuk@example.org
Устенко,Ольга,Володимирівна,Жіноча,1959-12-03,Антрополог,село Рені,"сквер Новосельского, буд. 1, Марганець , 17834",+380 48 127-04-23,ostapfomenko@example.com
Франчук,Емілія,Іванівна,Жіноча,1972-09-08,Краєзнавець,село Долина ,"парк Вапняний 3-й, буд. 9 кв. 8, Звенигородка, 15524",+380 58 966 91 29,iakymchukliliia@example.net
Свистун,Орест,Федорович,Чоловіча,1942-10-27,Письменник,селище Очаків,"вулиця Миколаївська дорога, буд. 395 кв. 9, Кобеляки, 17142",+380 09 459 66 75,bohdan52@example.org
Уманець,Кирило,Іванович,Чоловіча,1994-12-02,Швачка,село Галич,"набережна Старобазарний, буд. 61, Старий Самбір, 89706",+380 99 383-96-60,jkorolenko@example.net
Дубенко,Віолетта,Віталіївна,Жіноча,1999-06-21,Музикант,село Лубни,"провулок Іванова 2-й, буд. 54, Зеленодольськ, 36991",073 988 47 80,zynoviibezborodko@example.org
Єщенко,Арсен,Сергійович,Чоловіча,1987-12-16,Продюсер,місто Могилів-Подільський,"провулок Аеродромна, буд. 6 кв. 346, Українськ, 06199",743 43 53,bhrytsenko@example.com
Рябошапка,Ганна,Юріївна,Жіноча,1941-05-04,Парфюмер,місто Хмельницький,"провулок Тополиний, буд. 32, Сіверськ, 64204",+380 (69) 742-67-69,valentynmishchenko@example.com
Панчук,Тереза,Богданівна,Жіноча,1991-07-02,Кінорежисер,хутір Березівка,"парк Василя Кандинського 4-й, буд. 448, Первомайськ, 29586",084 045-33-54,amaliialutsenko@example.net
Шило,Валерій,Андрійович,Чоловіча,1991-05-29,Електромонтажник,село Ужгород,"вулиця Бодаревського, буд. 982 кв. 533, Покров, 45777",034 990-89-73,mykolaicherednyk@example.org
Забара,Анжела,Михайлівна,Жіноча,1967-08-31,Слідчий,село Бунге ,"сквер Олександра Матросова, буд. 5, Очаків, 75795",+380 29 678-96-90,terezavasylechko@example.org
Фоменко,Тимофій,Васильович,Чоловіча,1963-12-05,Гірничий інженер,хутір Дніпрорудне,"шосе Лінія 37-ма, буд. 89 кв. 602, Вовчанськ, 79957",+380 (31) 218-97-96,havryshkevychroman@example.net
Швайка,Пилип,Олександрович,Чоловіча,2008-03-25,Пекар,хутір Сарни,"набережна Васнецова, буд. 9, Ясинувата, 77196",+380 27 909 12 99,mykhailynamykhaliuk@example.net
Абраменко,Ірина,Євгенівна,Жіноча,1948-04-18,Золотар,хутір Новомосковськ,"узвіз Санітарна, буд. 6 кв. 94, Хорол , 27851",380-56-82,cmiroshnychenko@example.org
Журавель,Тимофій,Борисович,Чоловіча,1939-10-25,Електромонтажник,село Привілля,"узвіз Яблучна, буд. 12 кв. 20, Сміла, 56160",114 12 86,halyna13@example.com
Базилевський,Омелян,Олександрович,Чоловіча,1941-10-13,Кінорежисер,село Сорокине,"вулиця Купріна, буд. 41 кв. 48, Червоноград, 13331",+380 (94) 909-25-27,gtovstolis@example.net
Дергач,Оксенія,Юріївна,Жіноча,1973-06-30,Кушнір,село Нововолинськ,"шосе Миколи Гумільова, буд. 250 кв. 3, Іловайськ, 31034",+380 84 545 23 95,rbarannyk@example.net
Ґерета,Орхип,Олександрович,Чоловіча,2008-08-24,Фермер,селище Золоте,"набережна Садова 5-та, буд. 019 кв. 30, Гайворон, 07942",906-95-53,ttsiutsiura@example.org
Конопленко,Прохір,Сергійович,Чоловіча,1997-10-02,Астрофізик,село Гуляйполе,"узвіз Проектований 4-й, буд. 236, Благовіщенське, 39838",864 25 13,vysochansviatoslav@example.org
Панчук,Віктор,Віталійович,Чоловіча,1984-12-08,Вчитель,хутір Миколаївка ,"сквер Привозна, буд. 689, Люботин, 42951",842 50 69,zarubafedir@example.net
Михайлюк,Миколай,Михайлович,Чоловіча,1958-05-11,Електротехнік,хутір Березівка,"сквер Олександра Невського 1-й, буд. 8 кв. 188, Арциз, 95106",+380 46 736-47-33,shteparozaliia@example.com
Вергун,Стефан,Дмитрович,Чоловіча,1999-10-03,Швачка,селище Авдіївка,"проспект Чапаєва, буд. 4 кв. 1, Корюківка, 33509",+380 54 465-79-11,boleslav59@example.com
Деряжна,Єлисавета,Олександрівна,Жіноча,1951-04-21,Філолог,село Чортків,"площа Дніпровська, буд. 82, Корсунь-Шевченківський, 14151",409-18-88,derkachliudmyla@example.net
Євтушенко,Арсен,Володимирович,Чоловіча,1959-12-29,Гінеколог,хутір Добропілля,"парк Новиков міст, буд. 9 кв. 2, Вишгород, 64840",064 584 23 07,heorhiiakulenko@example.com
Юхименко,Давид,Богданович,Чоловіча,1965-07-01,Маркетолог,хутір Миргород,"узвіз Асташкіна, буд. 26 кв. 7, Новоазовськ, 60503",937-31-27,jchaika@example.net
Заїка,Семен,Володимирович,Чоловіча,1997-12-29,Медик,селище Судова Вишня,"парк Отрадна, буд. 4 кв. 563, Добропілля, 28962",090 135-43-45,volodymyrdanylchuk@example.com
Цюпа,Ярема,Романович,Чоловіча,1951-09-19,Гірничий інженер,селище Дунаївці,"сквер Степана Разіна, буд. 89 кв. 7, Соснівка , 40074",+380 95 313-06-24,wsomko@example.com
Андрійович,Григорій,Романович,Чоловіча,1944-08-12,Державний службовець,місто Борислав,"парк Михайла Жванецького, буд. 829, Щастя , 17862",808 64 43,heorhii80@example.net
Цюпа,Святослав,Романович,Чоловіча,1982-06-26,Зоолог,хутір Володимир-Волинський,"узвіз Госпітальний, буд. 525, Судова Вишня, 60749",+380 41 632-95-54,samoilenkovasyl@example.net
Удовиченко,Антон,Романович,Чоловіча,1966-11-17,Акушер,місто Верхівцеве,"шосе Пілотна, буд. 1, Слов'янськ, 93707",+380 86 458-53-38,adapalii@example.org
Атаманчук,Еріка,Олегівна,Жіноча,1945-09-30,Художник,місто Золочів,"парк Восьмого березня 6-й, буд. 53, Новодністровськ, 25659",+380 (16) 524-76-58,amvrosiivelychko@example.com
Швачка,Роман,Віталійович,Чоловіча,1967-12-29,Патологоанатом,село Ходорів,"проспект Ширшова, буд. 109, Кам'янець-Подільський, 40072",+380 78 677-38-25,hanna82@example.com
Величко,Ганна,Володимирівна,Жіноча,1948-04-29,Ветеринар,місто Городня,"вулиця Пестеля, буд. 407, Коростишів, 92680",+380 (69) 892-14-69,vertyporokhemiliia@example.net
Данченко,Михайлина,Олегівна,Жіноча,1969-11-02,Епідеміолог,селище Носівка,"провулок Алмазна, буд. 1, Почаїв, 34805",+380 05 381-20-15,zabaraalina@example.com
Скирда,Спас,Борисович,Чоловіча,1972-07-28,Професор,місто Новий Буг,"узвіз Друга, буд. 7, Лиман , 68072",219 32 46,mykhailo05@example.com
Рубан,Михайлина,Віталіївна,Жіноча,1989-10-09,Епідеміолог,село Миронівка,"парк Балтський 2-й, буд. 6, Ужгород, 73725",011 074 72 22,verkhovynetsvalerii@example.org
Токар,Охрім,Олександрович,Чоловіча,1949-12-29,Менеджер,місто Гола Пристань,"узвіз Аграрна, буд. 6 кв. 221, Баранівка, 77923",032 495-57-69,baranykavrelii@example.net
Тимченко,Дмитро,Олександрович,Чоловіча,1995-03-26,Програміст,хутір Вашківці,"узвіз Героїв прикордонників, буд. 934, Вашківці, 41305",+380 71 333 97 90,khorishkoamvrosii@example.net
Лисенко,Ярема,Євгенович,Чоловіча,1967-04-04,Каскадер,хутір Вашківці,"сквер Академіка Ясиновського, буд. 3 кв. 9, Мерефа, 08032",+380 (42) 154-80-44,edyta91@example.org
Демʼянчук,Мартин,Борисович,Чоловіча,1996-10-29,Педагог,село Верхньодніпровськ,"парк Гвоздичний, буд. 9, Червоносів, 07288",091 148-33-70,aronetsviktor@example.com
Штокало,Венедикт,Євгенович,Чоловіча,1991-06-05,Піаніст,село Херсон,"площа Гвардійська, буд. 8 кв. 1, Чигирин, 11692",023-61-60,eduard10@example.org
Мазепа,Пантелеймон,Віталійович,Чоловіча,2007-08-10,Мірошник,хутір Хуст,"площа Радіальна, буд. 5 кв. 1, Краматорськ, 97366",+380 09 489-68-15,arkadii48@example.com
Бакуменко,Ярослав,Олександрович,Чоловіча,1965-11-11,Складальник,селище Бурштин ,"парк Ясна, буд. 26, Роздільна, 97366",257-42-50,zakhar03@example.org
Чалий,Дан,Юрійович,Чоловіча,1976-08-25,Художник,село Калуш,"сквер Макова, буд. 2, Кагарлик, 85170",006 873-06-37,jzatula@example.net
Бебешко,Онисим,Борисович,Чоловіча,1993-05-30,Акушер,місто Любомль,"проспект Водний, буд. 48, Ровеньки, 95891",134-97-82,rubetstrokhym@example.org
Лазаренко,Тереза,Федорівна,Жіноча,1953-05-19,Музикант,селище Джанкой,"узвіз Літературна, буд. 7 кв. 06, Сквира, 80909",015 479 89 52,iashchenkoruslan@example.net
Литвин,Олекса,Григорович,Чоловіча,1987-10-04,Астрофізик,селище Полонне,"парк Пересипський 2-й, буд. 097 кв. 31, Вижниця, 20870",+380 19 813-46-38,ustym99@example.net
Зубко,Єлисавета,Сергіївна,Жіноча,1949-11-02,Клавішник,селище Баштанка,"узвіз Героїв Небесної Сотні, буд. 664 кв. 441, Мерефа, 83034",+380 83 621-02-65,frants18@example.com
Бабʼюк,Федір,Володимирович,Чоловіча,1982-06-10,Локсмайстер,селище Бахчисарай,"проспект Купріна, буд. 399 кв. 11, Люботин, 28106",+380 17 582-68-38,tredko@example.org
Тимченко,Богуслава,Іванівна,Жіноча,1964-07-01,Агроном,село Ужгород,"провулок Йосипа Тимченка, буд. 95, Мерефа, 33471",753 52 79,orysiavakulenko@example.com
Ємець,Герман,Романович,Чоловіча,1983-03-04,Промисловець,селище Ізмаїл,"площа Вокзальний, буд. 39, Любомль, 04568",073 054 48 74,haivoronskavitalii@example.org
Аврамчук,Тереза,Володимирівна,Жіноча,1962-01-13,Економіст,хутір Мелітополь,"вулиця Травневий, буд. 27, Почаїв, 49716",302 41 19,iosypprokopovych@example.net
Жарко,Теодор,Григорович,Чоловіча,1978-01-16,Маркетолог,село Балта,"проспект Дачний, буд. 5 кв. 1, Хорол , 98601",042 245-33-00,dsvystun@example.org
Масляк,Наталія,Олександрівна,Жіноча,2002-02-11,Бухгалтер,село Армянськ,"сквер Вершинна, буд. 3, Таврійськ, 27113",+380 39 873-99-57,zakhar83@example.com
Худобʼяк,Ярослава,Олександрівна,Жіноча,1994-05-01,Дантист,хутір Білозерське,"набережна Геологічна, буд. 996 кв. 1, Борислав, 97736",253 24 99,knehoda@example.net
Дутка,Геннадій,Борисович,Чоловіча,1961-04-19,Письменник,хутір Дубно,"шосе Авдєєва-Чорноморського, буд. 3, Судова Вишня, 68614",020 642-87-12,roksolanaierchenko@example.com
Щорс,Віталій,Михайлович,Чоловіча,1980-11-17,Золотар,хутір Новий Калинів,"проспект Шишкіна 2-й, буд. 35 кв. 716, Костопіль, 05822",+380 (18) 767-94-77,leonlahoda@example.com
Ґоляш,Святослава,Федорівна,Жіноча,1967-09-16,Гінеколог,село Мукачево,"площа Левадна, буд. 9, Перечин, 48483",667 76 94,panas14@example.net
Черінько,Олесь,Валентинович,Чоловіча,1966-05-31,Намотувальник,селище Моршин,"набережна Суперфосфатна, буд. 8, Долина , 17590",+380 87 147-92-08,fomenkoiustym@example.com
Романенко,Лесь,Миколайович,Чоловіча,1983-02-06,Драматург,селище Белз,"сквер Новоселів, буд. 6 кв. 2, Рогатин, 33988",998 53 25,durdynetsiosyp@example.net
Ковалюк,Павло,Сергійович,Чоловіча,2001-03-31,Мовознавець,селище Ніжин,"площа Партизанської Слави, буд. 245 кв. 1, Обухів, 17449",018 378-41-96,afareniuk@example.org
Яковенко,Сергій,Андрійович,Чоловіча,1986-10-16,Скульптор,хутір Великі Мости,"сквер Шостої 2-й, буд. 1 кв. 75, Батурин, 50644",+380 98 003 83 59,gvdovenko@example.net
Тимчук,Адам,Григорович,Чоловіча,1978-05-04,Кухар,село Молодогвардійськ,"парк Лермонтовський, буд. 51, Звенигородка, 37888",+380 24 738-21-74,qdashkevych@example.com
Кириленко,Богодар,Володимирович,Чоловіча,1940-04-27,Нотаріус,селище Винники,"шосе Льва Толстого, буд. 9 кв. 742, Чистякове, 13347",513-24-07,korsunievhen@example.org
Ярош,Амалія,Романівна,Жіноча,1949-07-19,Геолог,село Олешки,"шосе Совіньйонівський, буд. 182 кв. 2, Долинська, 16180",+380 28 297 00 58,chalenkoalla@example.com
Туркало,Герман,Васильович,Чоловіча,1982-04-14,Фермер,місто Тлумач,"вулиця Солонцюватий, буд. 01 кв. 8, Гадяч, 15453",099 432-25-99,borys49@example.net
Шморгун,Надія,Віталіївна,Жіноча,1968-12-31,Флорист,місто Бердянськ,"парк Семафорний, буд. 9 кв. 1, Сколе, 40792",+380 28 247-85-19,andrusenkovasylyna@example.com
Назаренко,Валентин,Олександрович,Чоловіча,1957-08-28,Скульптор,село Дебальцеве,"вулиця Василя Кандинського 1-й, буд. 174 кв. 838, Новоукраїнка, 12455",051 657 90 19,anastasiiaadamenko@example.org
Давиденко,Соломія,Богданівна,Жіноча,1984-09-15,Перекладач,місто Бахмач,"парк Професора Каришковського, буд. 036 кв. 098, Привілля, 23132",+380 28 435-88-91,lutsenkoihor@example.org
Скоробогатько,Святослав,Миколайович,Чоловіча,1948-06-15,Візажист,місто Южноукраїнськ,"вулиця Кутузова, буд. 0, Новий Калинів, 10895",612 40 99,frants38@example.net
Кириленко,Ігнат,Григорович,Чоловіча,1947-09-14,М'ясник,село Васильків,"шосе Матроський узвіз, буд. 8 кв. 5, Кальміуське, 53492",867 69 17,stepanvermenych@example.org
Товстоліс,Варвара,Валентинівна,Жіноча,1997-03-03,Епідеміолог,село Енергодар,"провулок Шефська, буд. 185, Гірське, 03351",+380 (03) 217-88-14,iarynastets@example.net
Штепа,Амвросій,Валентинович,Чоловіча,1974-05-22,Геолог,селище Косів,"провулок Західний 4-й, буд. 7, Ніжин, 84232",928 68 29,vasylieresko@example.net
Ґжицька,Надія,Михайлівна,Жіноча,1995-12-17,Слідчий,місто Миргород,"набережна Іванівська, буд. 93, Горлівка, 87492",025 117-95-18,valentyn61@example.net
Тесленко,Устим,Валентинович,Чоловіча,1951-05-29,Диригент,хутір Бахмач,"узвіз Наявний 7-й, буд. 0 кв. 18, Золотоноша, 91253",011 045-76-60,sbairak@example.com
Юрченко,Ярослава,Іванівна,Жіноча,2001-03-10,Паралегал,селище Люботин,"парк Горбатий міст, буд. 609, Волноваха, 70489",+380 (79) 012-22-20,gshovkoplias@example.org
Оробець,Ірена,Борисівна,Жіноча,1998-06-28,Фізик,хутір Скалат,"площа Ф. Пішеніна, буд. 2, Люботин, 20547",+380 09 389-46-72,vadym78@example.org
Затула,Арсен,Володимирович,Чоловіча,1962-04-03,Доцент,місто Курахове,"площа Перемоги, буд. 148 кв. 3, Узин, 88379",+380 37 178-09-25,uchumak@example.org
Гавришкевич,Василина,Сергіївна,Жіноча,1977-01-28,Скульптор,місто Чоп,"проспект Студентський 3-й, буд. 0 кв. 012, Шахтарськ, 77438",+380 02 588-21-38,marynaduplii@example.com
Цибуленко,Симон,Володимирович,Чоловіча,1997-12-05,Кушнір,селище Миколаївка ,"шосе Обсерваторний, буд. 6, Апостолове, 63641",447-00-73,eduardovsiienko@example.com
Петрик,Степан,Богданович,Чоловіча,1949-08-08,Адвокат,село Монастириська,"провулок Новгородська, буд. 809, Білгород-Дністровський, 32746",022 866 92 06,marynabazylevych@example.net
Артюшенко,Петро,Михайлович,Чоловіча,1944-07-10,Ді-джей,хутір Звенигородка,"узвіз Акордна, буд. 60 кв. 812, Жашків, 10142",+380 53 228-05-04,dpustovit@example.com
Ґерус,Герман,Олександрович,Чоловіча,2007-01-06,Флорист,селище Тернівка ,"сквер Новаторів, буд. 75, Ладижин, 40216",+380 63 135-77-39,zorianlavrenko@example.com
Ажажа,Микита,Федорович,Чоловіча,1979-11-18,Бухгалтер,село Ланівці,"набережна Літературна, буд. 590 кв. 179, Вараш, 46126",427-46-20,zabarnyiarsen@example.org
Баранник,Гордій,Валентинович,Чоловіча,2000-01-19,Кіноактор,село Рівне,"проспект Чорноморський 10-й, буд. 277, Ананьїв, 82023",028 774 82 04,mykytadurdynets@example.com
Фастенко,Марко,Сергійович,Чоловіча,1982-07-15,Кінорежисер,селище Вуглегірськ,"сквер Мала Арнаутська, буд. 851, Судова Вишня, 37760",+380 (38) 859-13-35,dzyndraanton@example.com
Архимович,Камілла,Валентинівна,Жіноча,1962-11-11,Адвокат,селище Дебальцеве,"сквер Лідерсівський, буд. 39, Берестечко, 08430",044 007-51-12,vitalii47@example.net
Удовенко,Одарка,Богданівна,Жіноча,2006-01-13,Професор,місто Чернігів,"сквер Велика Арнаутська, буд. 6 кв. 79, Добропілля, 72222",007 224 59 39,cskorobohatko@example.com
Петлюра,Вадим,Борисович,Чоловіча,1944-08-19,Драматург,хутір Херсон,"шосе Клинова, буд. 92 кв. 254, Білозерське, 71732",092 421-50-98,demianiukdemyd@example.com
Оліфіренко,Богуслава,Олегівна,Жіноча,1954-10-02,Публіцист,хутір Лубни,"провулок Шишкіна 1-й, буд. 0, Богуслав, 76588",037 304-47-48,shukhevychmyron@example.com
Рубан,Борислав,Сергійович,Чоловіча,1997-04-24,Стиліст,місто Золотоноша,"проспект Садова 2-га, буд. 33 кв. 97, Жашків, 92371",668 93 13,lazarenkoborys@example.org
Жайворон,Віталій,Володимирович,Чоловіча,1980-10-08,Антрополог,хутір Новомосковськ,"провулок Морська, буд. 28, Саки , 48651",039 077-05-64,zabarnaanita@example.org
Джунь,Руслан,Володимирович,Чоловіча,1976-03-24,Складальник,селище Городок,"площа Ланжеронівська, буд. 313, Монастириська, 75063",+380 (49) 636-04-19,vtiahnybok@example.net
Стець,Тарас,Григорович,Чоловіча,1962-11-20,Патологоанатом,селище Новоград-Волинський,"вулиця Інтернаціональний, буд. 90 кв. 0, Чигирин, 71560",060 167 99 74,demydsvystun@example.net
Яременко,Вікторія,Василівна,Жіноча,1939-05-16,Астрофізик,хутір Куп'янськ,"набережна Армійська, буд. 102, Болехів, 89470",546 95 86,nadiiafomenko@example.com
Єсипенко,Гаврило,Сергійович,Чоловіча,1985-09-01,Кухар,місто Хрестівка,"сквер Четверта, буд. 074, Суходільськ, 96972",002 999 67 38,omeliantsisyk@example.com
Шморгун,Стефан,Юрійович,Чоловіча,2006-01-04,Археолог,хутір Суми,"набережна Монгольська, буд. 37 кв. 92, Молочанськ, 73742",+380 94 994-49-04,avhustyn63@example.net
Притула,Євген,Романович,Чоловіча,1949-03-07,Редактор,хутір Долина ,"площа Учнівська, буд. 52 кв. 36, Зимогір'я, 81267",063 139 52 49,konoplenkonadiia@example.com
Гавришкевич,Ігор,Петрович,Чоловіча,1969-08-30,Стоматолог,селище Бахчисарай,"сквер Ангарська, буд. 831 кв. 279, Біляївка, 64661",085 344-18-14,solomon37@example.com
Усик,Миколай,Петрович,Чоловіча,2008-05-20,Зоолог,селище Почаїв,"парк Тупиковий 1-й, буд. 0, Львів, 32400",656 10 22,xchuiko@example.org
Рудик,Сніжана,Іванівна,Жіноча,1963-03-26,Хімік,хутір Зимогір'я,"вулиця Романтиків, буд. 84, Червоносів, 53256",842-76-69,tvakarchuk@example.com
Опанасенко,Сергій,Віталійович,Чоловіча,1981-09-09,М'ясник,село Бердичів,"шосе Чорноморська, буд. 7 кв. 3, Полонне, 89276",+380 (56) 442-84-90,saliihordii@example.com
Гук,Нестор,Олегович,Чоловіча,1999-10-06,Редактор,село Євпаторія,"площа Маковий, буд. 14 кв. 6, Сніжне, 21832",+380 64 105-89-78,qromanets@example.net
Адамчук,Емілія,Петрівна,Жіноча,2008-06-01,Математик,місто Миколаївка ,"шосе Херсонський сквер, буд. 67 кв. 6, Шепетівка, 24217",010 655-06-88,orestieremenko@example.org
Артюшенко,Сергій,Сергійович,Чоловіча,1968-03-15,Дипломат,селище Кам'янка (Черкаська область),"площа Восьмого березня 2-й, буд. 74, Тисмениця, 01949",439-42-36,spoltavets@example.net
Деркач,Хома,Олегович,Чоловіча,1984-10-12,Педагог,село Помічна,"площа Гімназична, буд. 149 кв. 61, Червоноград, 32017",+380 48 112-14-25,serhii62@example.org
Шиян,Камілла,Дмитрівна,Жіноча,1999-12-17,Біолог,село Кропивницький,"проспект Жоліо-Кюрі, буд. 865, Новомосковськ, 60368",049 227-35-51,priskafomenko@example.net
Рубан,Василина,Дмитрівна,Жіноча,1960-05-09,Конструктор,село Кролевець,"парк Чорноморський 12-й, буд. 2 кв. 7, Щолкіне, 18795",031 976-14-68,zabarnaanton@example.net
Царенко,Маруся,Юріївна,Жіноча,1956-02-29,Дипломат,хутір Ковель,"узвіз Благовидової, буд. 969, Берислав, 89310",026 161-86-42,pabramchuk@example.org
Бевз,Валентина,Юріївна,Жіноча,2006-07-16,Медик,хутір Тячів,"сквер Академіка Вільямса, буд. 9 кв. 26, Турка, 17031",859-85-82,vadym55@example.com
Ісаєвич,Олена,Григорівна,Жіноча,1944-01-12,Педагог,село Новомосковськ,"площа Ванцетті, буд. 237 кв. 5, Бар, 04794",+380 23 396-81-71,viktorkybkalo@example.org
Данькевич,Валентин,Дмитрович,Чоловіча,1957-08-10,Медик,хутір Ізяслав,"парк Леваневського, буд. 26, Могилів-Подільський, 30389",090 247-10-07,nataliia91@example.com
Михайличенко,Едита,Григорівна,Жіноча,1994-10-01,Різноробочий,село Луганськ,"набережна Друга, буд. 566 кв. 7, Березань , 06312",+380 93 791-86-00,bevzsvitlana@example.com
Терещук,Алевтин,Миколайович,Чоловіча,1956-04-12,Єгер,хутір Миколаїв,"набережна Митна, буд. 7, Селидове, 34663",010 561 90 10,lukiantsiutsiura@example.org
Килимник,Людмила,Григорівна,Жіноча,1973-10-26,Композитор,селище Судак ,"шосе Данила Крижанівського, буд. 4, Городенка, 16598",+380 94 770 98 58,stefanlytvyn@example.net
Андрейко,Лариса,Дмитрівна,Жіноча,1958-02-01,Випробувач,селище Чуднів,"сквер Проектний 5-й, буд. 4, Ворожба, 36659",473 94 55,alinatkach@example.net
Фурс,Демид,Андрійович,Чоловіча,1999-06-05,Музикознавець,село Южноукраїнськ,"проспект Шишкіна 2-й, буд. 6, Нове Давидково, 18851",+380 (49) 770-84-21,karasarkadii@example.org
Ребрик,Христина,Валентинівна,Жіноча,1978-11-11,Філолог,хутір Баштанка,"провулок Хутірський, буд. 657, Прилуки, 18908",955 44 16,artemiukhymenko@example.net
Тихий,Микита,Олександрович,Чоловіча,1985-06-25,Різноробочий,селище Ужгород,"площа Чорноморський 7-й, буд. 10 кв. 273, Вознесенськ, 84125",+380 41 767-48-22,nchumak@example.net
Баклан,Марко,Олегович,Чоловіча,1974-05-02,Кінорежисер,село Золочів,"площа Нафтовиків 3-й, буд. 96, Ізмаїл, 51498",006 647-47-39,petrozhuchenko@example.com
Павленко,Азар,Богданович,Чоловіча,1966-08-27,Бізнесмен,село Чортків,"сквер Лінія 46-та, буд. 586, Українськ, 96036",010 376-37-76,myroslavkonoplia@example.com
Давимука,Франц,Борисович,Чоловіча,1990-03-18,Археолог,селище Вознесенівка,"узвіз Західний 2-й, буд. 92, Луганськ, 48994",048 569-41-28,myron22@example.net
Цибуленко,Єлисавета,Юріївна,Жіноча,1973-01-03,Льотчик,місто Виноградів,"парк Проектований 4-й, буд. 9, Енергодар, 89564",014 926 95 00,adariaboshapka@example.com
Ільченко,Ольга,Валентинівна,Жіноча,1963-04-04,Маркетолог,село Долинська,"проспект Соляний 2-й, буд. 8 кв. 8, Дубровиця, 73963",599 97 81,iosyp99@example.org
Чайка,Дарина,Андріївна,Жіноча,1968-08-06,Музикознавець,село Підгородне,"площа Водопровідний 3-й, буд. 20, Кропивницький, 78810",+380 63 064-80-88,liza86@example.net
Корпанюк,Едуард,Іванович,Чоловіча,1978-09-29,Підприємець,хутір Гірник ,"провулок Вишневий, буд. 6, Верхньодніпровськ, 01959",916-72-55,kivanchenko@example.net
Гайдабура,Левко,Борисович,Чоловіча,1956-07-21,Доцент,село Козятин,"узвіз Академічна, буд. 52, Ланівці, 68952",+380 16 379 14 94,dmytroiesypenko@example.net
Вакарчук,Маруся,Євгенівна,Жіноча,1991-12-14,Ветеринар,селище Ямпіль,"сквер Рельєфна, буд. 162 кв. 788, Дубровиця, 11664",+380 (10) 623-53-93,aierchenko@example.net
Засенко,Ганна,Миколаївна,Жіноча,1958-06-09,Перекладач,село Сєвєродонецьк,"проспект Вертелецького, буд. 347 кв. 841, Суми, 46708",+380 42 350-42-70,aleksiukmyron@example.com
Голобородько,Олена,Євгенівна,Жіноча,1981-05-15,Кур'єр,місто Новодністровськ,"набережна Спиридонівська, буд. 1, Кілія, 08715",017 530-24-88,halyna13@example.net
Яремко,Еріка,Петрівна,Жіноча,2006-01-17,Фрілансер,місто Кропивницький,"вулиця Килимовий, буд. 806 кв. 10, Коростишів, 12302",+380 47 183-16-14,adzyndra@example.com
